"question_id","selected_option","correct","category"
0,"option 2",true,"Standards specifications"
1,"option 1",false,"Research publications"
2,"option 3",true,"Research publications"
3,"option 4",true,"Standards specifications"
4,"option 4",false,"Standards specifications"
5,"option 1",false,"Research overview"
6,"option 4",false,"Research publications"
7,"option 1",true,"Research overview"
8,"option 2",false,"Research overview"
9,"option 2",true,"Lexicon"
10,"option 1",false,"Research publications"
11,"option 3",true,"Standards specifications"
12,"option 4",true,"Standards specifications"
13,"option 2",false,"Research publications"
14,"option 2",true,"Standards specifications"
15,"option 3",true,"Research publications"
16,"option 5",true,"Research overview"
17,"option 3",true,"Lexicon"
18,"option 1",true,"Research publications"
19,"option 2",true,"Standards overview"
20,"option 2",true,"Standards overview"
21,"option 4",true,"Standards specifications"
22,"option 3",true,"Lexicon"
23,"option 4",true,"Standards overview"
24,"option 1",true,"Research publications"
25,"option 4",true,"Research publications"
26,"option 3",true,"Standards overview"
27,"option 3",false,"Research publications"
28,"option 3",true,"Research publications"
29,"option 2",true,"Standards specifications"
30,"option 1",false,"Standards overview"
31,"option 2",true,"Lexicon"
32,"option 2",true,"Research publications"
33,"option 2",true,"Research publications"
34,"option 5",false,"Research publications"
35,"option 3",true,"Lexicon"
36,"option 3",true,"Lexicon"
37,"option 2",false,"Standards overview"
38,"option 4",false,"Research publications"
39,"option 1",false,"Research publications"
40,"option 3",true,"Research publications"
41,"option 4",true,"Standards specifications"
42,"option 1",false,"Standards overview"
43,"option 1",false,"Research publications"
44,"option 1",false,"Standards specifications"
45,"option 1",true,"Standards specifications"
46,"option 3",true,"Standards specifications"
47,"option 1",true,"Standards specifications"
48,"option 5",true,"Research overview"
49,"option 5",true,"Standards specifications"
50,"option 2",true,"Research overview"
51,"option 1",true,"Research publications"
52,"option 4",true,"Research overview"
53,"option 3",true,"Standards specifications"
54,"option 2",true,"Standards overview"
55,"option 3",true,"Lexicon"
56,"option 1",true,"Standards specifications"
57,"option 5",false,"Research publications"
58,"option 3",true,"Research overview"
59,"option 1",false,"Research publications"
60,"option 2",true,"Standards specifications"
61,"option 3",true,"Lexicon"
62,"option 4",true,"Research publications"
63,"option 3",true,"Research overview"
64,"option 2",false,"Standards specifications"
65,"option 2",true,"Research overview"
66,"option 1",false,"Research overview"
67,"option 1",true,"Standards overview"
68,"option 1",true,"Standards overview"
69,"option 3",true,"Standards overview"
70,"option 2",true,"Standards specifications"
71,"option 1",true,"Research publications"
72,"option 1",true,"Research publications"
73,"option 4",true,"Standards specifications"
74,"option 5",false,"Standards specifications"
75,"option 4",true,"Research overview"
76,"option 1",false,"Standards overview"
77,"option 3",true,"Research overview"
78,"option 5",true,"Research overview"
79,"option 1",false,"Research publications"
80,"option 3",true,"Standards specifications"
81,"option 1",false,"Research publications"
82,"option 1",true,"Research publications"
83,"option 2",true,"Research publications"
84,"option 5",true,"Research overview"
85,"option 1",true,"Research publications"
86,"option 1",true,"Research overview"
87,"option 1",false,"Standards overview"
88,"option 1",false,"Standards overview"
89,"option 4",false,"Standards overview"
90,"option 1",true,"Research publications"
91,"option 3",true,"Standards specifications"
92,"option 1",true,"Lexicon"
93,"option 5",true,"Research publications"
94,"option 3",true,"Research publications"
95,"option 3",false,"Research publications"
96,"option 3",false,"Standards specifications"
97,"option 5",true,"Lexicon"
98,"option 1",false,"Research overview"
99,"option 5",true,"Research publications"
100,"option 2",false,"Standards specifications"
101,"option 1",false,"Standards overview"
102,"option 2",true,"Research publications"
103,"option 3",false,"Research publications"
104,"option 1",false,"Research overview"
105,"option 4",true,"Research publications"
106,"option 1",false,"Research overview"
107,"option 3",false,"Standards overview"
108,"option 1",false,"Standards specifications"
109,"option 1",false,"Lexicon"
110,"option 1",true,"Research overview"
111,"option 5",false,"Standards specifications"
112,"option 3",false,"Standards overview"
113,"option 4",true,"Research overview"
114,"option 2",true,"Research overview"
115,"option 3",true,"Research publications"
116,"option 3",true,"Research overview"
117,"option 2",false,"Standards overview"
118,"option 5",false,"Research overview"
119,"option 3",false,"Research overview"
120,"option 5",true,"Research publications"
121,"option 3",false,"Standards specifications"
122,"option 1",false,"Research publications"
123,"option 4",false,"Standards specifications"
124,"option 5",true,"Research publications"
125,"option 2",true,"Research publications"
126,"option 2",true,"Research overview"
127,"option 4",true,"Research overview"
128,"option 1",true,"Research overview"
129,"option 5",true,"Research overview"
130,"option 3",true,"Research publications"
131,"option 1",true,"Research publications"
132,"option 1",true,"Research overview"
133,"option 3",false,"Research overview"
134,"option 3",true,"Research publications"
135,"option 4",false,"Standards specifications"
136,"option 3",true,"Research overview"
137,"option 3",true,"Research overview"
138,"option 1",false,"Standards overview"
139,"option 2",true,"Research publications"
140,"option 1",false,"Standards overview"
141,"option 4",false,"Standards specifications"
142,"option 2",true,"Research overview"
143,"option 2",false,"Standards specifications"
144,"option 5",true,"Research publications"
145,"option 3",false,"Research publications"
146,"option 3",true,"Standards specifications"
147,"option 1",false,"Research overview"
148,"option 2",true,"Research publications"
149,"option 4",true,"Standards specifications"
150,"option 3",false,"Research publications"
151,"option 1",false,"Research publications"
152,"option 1",true,"Standards overview"
153,"option 1",false,"Lexicon"
154,"option 1",true,"Standards overview"
155,"option 2",false,"Standards specifications"
156,"option 2",true,"Research overview"
157,"option 1",false,"Research publications"
158,"option 1",true,"Research overview"
159,"option 3",false,"Standards specifications"
160,"option 2",false,"Research publications"
161,"option 3",true,"Lexicon"
162,"option 4",true,"Research overview"
163,"option 2",false,"Research publications"
164,"option 5",true,"Research overview"
165,"option 3",true,"Research publications"
166,"option 3",true,"Standards overview"
167,"option 2",true,"Research publications"
168,"option 2",true,"Standards specifications"
169,"option 1",false,"Research overview"
170,"option 3",false,"Standards specifications"
171,"option 5",true,"Research publications"
172,"option 3",true,"Research publications"
173,"option 2",false,"Standards specifications"
174,"option 3",true,"Research publications"
175,"option 2",true,"Research publications"
176,"option 4",true,"Research overview"
177,"option 1",false,"Standards overview"
178,"option 3",true,"Research overview"
179,"option 5",false,"Standards overview"
180,"option 3",true,"Research overview"
181,"option 2",true,"Standards specifications"
182,"option 4",true,"Research overview"
183,"option 4",true,"Research publications"
184,"option 3",false,"Standards overview"
185,"option 2",true,"Standards specifications"
186,"option 2",true,"Research publications"
187,"option 3",true,"Standards specifications"
188,"option 4",true,"Standards specifications"
189,"option 3",true,"Lexicon"
190,"option 2",false,"Research overview"
191,"option 2",false,"Standards overview"
192,"option 3",true,"Standards overview"
193,"option 1",true,"Research publications"
194,"option 3",true,"Standards specifications"
195,"option 3",false,"Standards specifications"
196,"option 4",false,"Research publications"
197,"option 1",false,"Standards specifications"
198,"option 3",false,"Standards specifications"
199,"option 4",true,"Research publications"
200,"option 5",true,"Research publications"
201,"option 2",true,"Research publications"
202,"option 2",true,"Research publications"
203,"option 3",false,"Standards specifications"
204,"option 1",true,"Research publications"
205,"option 1",false,"Research overview"
206,"option 1",true,"Standards specifications"
207,"option 1",false,"Research publications"
208,"option 4",true,"Research overview"
209,"option 3",true,"Research publications"
210,"option 4",true,"Research publications"
211,"option 3",true,"Research publications"
212,"option 2",true,"Research overview"
213,"option 2",true,"Research publications"
214,"option 4",true,"Research overview"
215,"option 1",false,"Research overview"
216,"option 5",false,"Standards specifications"
217,"option 1",false,"Research publications"
218,"option 3",false,"Research overview"
219,"option 2",true,"Research overview"
220,"option 1",false,"Research overview"
221,"option 2",true,"Standards overview"
222,"option 1",false,"Research overview"
223,"option 3",true,"Research publications"
224,"option 4",false,"Standards specifications"
225,"option 1",false,"Standards specifications"
226,"option 4",true,"Standards overview"
227,"option 1",true,"Research publications"
228,"option 5",false,"Research publications"
229,"option 4",true,"Research overview"
230,"option 3",true,"Research publications"
231,"option 2",true,"Research publications"
232,"option 1",true,"Lexicon"
233,"option 2",false,"Standards specifications"
234,"option 2",true,"Research publications"
235,"option 3",true,"Standards overview"
236,"option 2",true,"Research overview"
237,"option 1",true,"Research overview"
238,"option 4",true,"Research publications"
239,"option 2",true,"Research publications"
240,"option 2",false,"Research overview"
241,"option 2",true,"Research publications"
242,"option 2",true,"Standards overview"
243,"option 1",false,"Research publications"
244,"option 4",true,"Standards specifications"
245,"option 3",false,"Research publications"
246,"option 1",false,"Research publications"
247,"option 1",true,"Research overview"
248,"option 4",false,"Research publications"
249,"option 1",true,"Standards specifications"
250,"option 1",true,"Research publications"
251,"option 4",true,"Research overview"
252,"option 1",false,"Research publications"
253,"option 1",false,"Research publications"
254,"option 2",false,"Research publications"
255,"option 4",true,"Research overview"
256,"option 2",false,"Standards specifications"
257,"option 1",false,"Standards specifications"
258,"option 2",true,"Research publications"
259,"option 3",true,"Research publications"
260,"option 3",true,"Research publications"
261,"option 2",true,"Research publications"
262,"option 2",true,"Research publications"
263,"option 1",true,"Research publications"
264,"option 3",false,"Research publications"
265,"option 2",false,"Research publications"
266,"option 4",false,"Research publications"
267,"option 2",true,"Research publications"
268,"option 3",false,"Standards specifications"
269,"option 1",true,"Research publications"
270,"option 4",true,"Research publications"
271,"option 3",true,"Research publications"
272,"option 3",true,"Research overview"
273,"option 1",false,"Research publications"
274,"option 2",true,"Research overview"
275,"option 2",true,"Research publications"
276,"option 5",true,"Research publications"
277,"option 4",false,"Research overview"
278,"option 1",true,"Research overview"
279,"option 3",true,"Standards specifications"
280,"option 1",false,"Research publications"
281,"option 3",true,"Standards specifications"
282,"option 1",false,"Standards specifications"
283,"option 5",true,"Research publications"
284,"option 2",true,"Lexicon"
285,"option 3",false,"Research publications"
286,"option 3",true,"Research publications"
287,"option 4",true,"Research overview"
288,"option 5",false,"Research publications"
289,"option 3",false,"Standards specifications"
290,"option 1",false,"Standards specifications"
291,"option 4",true,"Research overview"
292,"option 2",true,"Research publications"
293,"option 1",true,"Research overview"
294,"option 2",true,"Research publications"
295,"option 2",false,"Standards specifications"
296,"option 4",false,"Standards specifications"
297,"option 3",true,"Research publications"
298,"option 3",true,"Research publications"
299,"option 2",true,"Lexicon"
300,"option 1",true,"Standards overview"
301,"option 2",true,"Research publications"
302,"option 1",true,"Research overview"
303,"option 1",false,"Standards specifications"
304,"option 1",true,"Research publications"
305,"option 5",false,"Research publications"
306,"option 1",false,"Research overview"
307,"option 2",false,"Standards overview"
308,"option 5",false,"Research publications"
309,"option 3",true,"Lexicon"
310,"option 4",false,"Research overview"
311,"option 1",true,"Research publications"
312,"option 4",true,"Research publications"
313,"option 3",false,"Standards specifications"
314,"option 4",true,"Research publications"
315,"option 2",true,"Research publications"
316,"option 3",false,"Standards specifications"
317,"option 1",true,"Research overview"
318,"option 1",false,"Standards specifications"
319,"option 4",true,"Standards overview"
320,"option 1",true,"Research publications"
321,"option 1",false,"Research publications"
322,"option 3",true,"Research publications"
323,"option 3",true,"Research publications"
324,"option 3",true,"Research publications"
325,"option 2",true,"Standards specifications"
326,"option 1",true,"Research publications"
327,"option 5",true,"Research publications"
328,"option 5",true,"Research publications"
329,"option 1",false,"Research publications"
330,"option 3",true,"Research publications"
331,"option 4",false,"Research overview"
332,"option 1",true,"Research overview"
333,"option 4",true,"Research publications"
334,"option 2",false,"Research overview"
335,"option 3",true,"Research publications"
336,"option 2",true,"Standards specifications"
337,"option 3",false,"Research publications"
338,"option 1",true,"Standards specifications"
339,"option 3",true,"Research publications"
340,"option 2",true,"Research publications"
341,"option 4",true,"Research publications"
342,"option 2",true,"Research publications"
343,"option 3",false,"Research publications"
344,"option 3",true,"Research publications"
345,"option 5",true,"Standards overview"
346,"option 5",true,"Research overview"
347,"option 1",false,"Research publications"
348,"option 5",true,"Research overview"
349,"option 4",true,"Research publications"
350,"option 5",true,"Lexicon"
351,"option 5",true,"Lexicon"
352,"option 3",false,"Research overview"
353,"option 4",true,"Research publications"
354,"option 2",false,"Research overview"
355,"option 5",true,"Standards overview"
